City_ID,City,Country,Max Temp,Description,Lat,Lng,Humidity,Cloudiness,Wind Speed,Date,Hotel Name
182,Panzhihua,CN,68.31,overcast clouds,26.5851,101.7128,97,100,0.78,2022-07-20 21:39:41,
184,Guangyuan,CN,69.58,few clouds,32.442,105.823,95,12,1.54,2022-07-20 21:39:41,
186,Guerrero Negro,MX,83.34,few clouds,27.9769,-114.0611,44,14,15.99,2022-07-20 21:32:12,
188,Guozhen,CN,68.04,clear sky,34.3659,107.359,87,1,1.99,2022-07-20 21:39:43,
189,Saint-Honore,CA,78.12,broken clouds,48.5334,-71.0824,42,74,3.44,2022-07-20 21:39:43,
194,Makakilo City,US,82.72,broken clouds,21.3469,-158.0858,54,75,18.41,2022-07-20 21:39:44,
196,Arys,KZ,84.52,clear sky,42.4252,68.795,18,0,13.42,2022-07-20 21:39:44,
197,Zanjan,IR,70.05,clear sky,36.6736,48.4787,51,0,5.97,2022-07-20 21:39:45,
199,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,100,94,8.01,2022-07-20 21:34:32,
200,Golpayegan,IR,76.37,clear sky,33.4537,50.2884,15,0,4.94,2022-07-20 21:39:46,
207,Touros,BR,75.13,broken clouds,-5.1989,-35.4608,84,82,11.16,2022-07-20 21:39:48,
208,Caravelas,BR,71.44,clear sky,-17.7125,-39.2481,77,2,6.64,2022-07-20 21:29:50,
211,Goma,CD,66.54,broken clouds,-1.6792,29.2228,62,62,1.32,2022-07-20 21:39:49,
212,Faya,SA,66.72,light rain,18.3851,42.4509,55,100,8.05,2022-07-20 21:39:50,
213,Mapiripan,CO,75.45,broken clouds,2.8892,-72.1256,92,79,5.97,2022-07-20 21:39:50,
214,Fuyang,CN,70.05,scattered clouds,32.9,115.8167,94,46,3.91,2022-07-20 21:39:50,
215,San Pedro,PH,81.63,moderate rain,14.35,121.0167,87,100,4.61,2022-07-20 21:39:51,
218,Zhifang,CN,78.78,overcast clouds,30.35,114.3167,96,100,0.67,2022-07-20 21:39:52,
223,Fribourg,CH,69.17,overcast clouds,46.8024,7.1513,83,92,3.65,2022-07-20 21:39:53,
