City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
380,Cidreira,-30.1811,-50.2056,52.41,69,98,11.5,BR,2022-07-12 22:44:34
381,Hede,33.7681,120.2517,90.34,61,73,9.33,CN,2022-07-12 22:44:34
382,Ilulissat,69.2167,-51.1,44.62,81,75,2.3,GL,2022-07-12 22:44:35
383,Fortuna,40.5982,-124.1573,72.86,77,0,5.01,US,2022-07-12 22:44:35
384,Guerrero Negro,27.9769,-114.0611,72.43,65,78,16.26,MX,2022-07-12 22:44:35
385,Billings,45.7833,-108.5007,93.67,25,20,5.75,US,2022-07-12 22:42:48
386,Sisimiut,66.9395,-53.6735,42.57,93,77,5.12,GL,2022-07-12 22:44:36
387,Bondo,3.8146,23.6866,69.35,99,100,0.69,CD,2022-07-12 22:44:36
388,Santa Fe,-31.6333,-60.7,54.0,59,0,4.0,AR,2022-07-12 22:40:09
389,Huangnihe,43.5583,128.0239,67.53,86,95,8.43,CN,2022-07-12 22:44:37
390,Sinnamary,5.3833,-52.95,78.4,82,95,6.22,GF,2022-07-12 22:44:37
391,Aloleng,16.1307,119.7824,81.63,82,100,10.92,PH,2022-07-12 22:44:37
392,Talnakh,69.4865,88.3972,47.21,58,96,14.61,RU,2022-07-12 22:44:38
393,Balkanabat,39.5108,54.3671,87.35,22,0,9.15,TM,2022-07-12 22:44:38
394,Pinawa,50.1489,-95.8811,71.06,66,41,10.18,CA,2022-07-12 22:44:38
395,Libenge,3.65,18.6333,72.61,87,100,0.89,CD,2022-07-12 22:44:39
396,Amnat Charoen,15.9167,104.75,75.29,94,100,3.51,TH,2022-07-12 22:44:39
397,Killybegs,54.6333,-8.45,55.18,78,99,10.31,IE,2022-07-12 22:44:40
398,Zaykovo,57.5613,62.7568,59.63,77,88,4.21,RU,2022-07-12 22:44:40
399,Tuktoyaktuk,69.4541,-133.0374,42.8,100,100,12.66,CA,2022-07-12 22:44:40
400,Viterbo,42.4167,12.0833,70.23,81,4,1.9,IT,2022-07-12 22:44:41
401,Krasnoarmeysk,51.0239,45.6969,68.02,72,96,4.85,RU,2022-07-12 22:44:41
402,Amahai,-3.3333,128.9167,77.11,87,100,5.57,ID,2022-07-12 22:44:41
403,Taoudenni,22.6783,-3.9836,102.72,11,75,1.72,ML,2022-07-12 22:44:42
404,Gravdal,68.1214,13.5031,54.9,96,100,15.21,NO,2022-07-12 22:44:42
405,Lantana,26.5867,-80.052,89.65,73,75,14.97,US,2022-07-12 22:44:43
406,Gimli,50.6336,-96.9907,69.82,73,2,6.91,CA,2022-07-12 22:43:01
407,San Quintin,30.4833,-115.95,69.87,71,99,15.57,MX,2022-07-12 22:44:43
408,Olinda,-8.0089,-34.8553,78.53,83,40,10.36,BR,2022-07-12 22:43:40
409,Bubaque,11.2833,-15.8333,80.89,80,100,9.78,GW,2022-07-12 22:44:44
410,Monywa,22.1167,95.1333,81.81,73,74,9.26,MM,2022-07-12 22:44:44
411,Buenos Aires,-34.6132,-58.3772,49.95,65,12,1.01,AR,2022-07-12 22:40:34
412,Black River,18.0264,-77.8487,85.91,60,84,16.11,JM,2022-07-12 22:44:45
413,Luau,-10.7073,22.2247,59.02,42,0,3.04,AO,2022-07-12 22:44:45
414,Cocorit,27.5833,-109.9667,89.94,38,22,7.78,MX,2022-07-12 22:44:45
415,Ixtapa,20.7,-105.2,87.22,70,20,11.5,MX,2022-07-12 22:45:46
416,San Marcos,33.1434,-117.1661,89.98,63,0,11.01,US,2022-07-12 22:45:38
417,Varkaus,62.3153,27.873,66.31,95,55,3.67,FI,2022-07-12 22:45:46
