City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
187,Bagdarin,RU,2022-07-20 21:39:42,54.4333,113.6,59.22,88,33,3.02,scattered clouds
188,Guozhen,CN,2022-07-20 21:39:43,34.3659,107.359,68.04,87,1,1.99,clear sky
189,Saint-Honore,CA,2022-07-20 21:39:43,48.5334,-71.0824,78.12,42,74,3.44,broken clouds
190,Berlevag,NO,2022-07-20 21:33:24,70.8578,29.0864,55.2,100,75,4.61,broken clouds
191,Mount Gambier,AU,2022-07-20 21:32:12,-37.8333,140.7667,39.22,82,3,5.53,clear sky
192,Dikson,RU,2022-07-20 21:28:32,73.5069,80.5464,41.59,73,11,24.58,few clouds
193,Saldanha,ZA,2022-07-20 21:33:23,-33.0117,17.9442,39.25,64,0,10.89,clear sky
194,Makakilo City,US,2022-07-20 21:39:44,21.3469,-158.0858,82.72,54,75,18.41,broken clouds
195,Springbok,ZA,2022-07-20 21:39:44,-29.6643,17.8865,44.44,55,1,5.44,clear sky
196,Arys,KZ,2022-07-20 21:39:44,42.4252,68.795,84.52,18,0,13.42,clear sky
197,Zanjan,IR,2022-07-20 21:39:45,36.6736,48.4787,70.05,51,0,5.97,clear sky
198,Muyezerskiy,RU,2022-07-20 21:39:45,63.9333,31.65,58.84,95,100,5.59,overcast clouds
199,Puerto Ayora,EC,2022-07-20 21:34:32,-0.7393,-90.3518,78.76,100,94,8.01,overcast clouds
200,Golpayegan,IR,2022-07-20 21:39:46,33.4537,50.2884,76.37,15,0,4.94,clear sky
201,Upernavik,GL,2022-07-20 21:33:26,72.7868,-56.1549,48.33,69,87,7.54,overcast clouds
202,Yeppoon,AU,2022-07-20 21:39:46,-23.1333,150.7333,58.78,93,100,22.48,light rain
203,Guantanamo,CU,2022-07-20 21:39:47,20.1444,-75.2092,87.37,64,100,8.08,overcast clouds
204,Tunduma,TZ,2022-07-20 21:39:47,-9.3,32.7667,52.72,88,70,8.25,broken clouds
205,Ketrzyn,PL,2022-07-20 21:39:47,54.0768,21.3753,60.76,82,8,2.68,clear sky
206,Shahdadkot,PK,2022-07-20 21:39:48,27.8477,67.9055,93.52,58,97,8.88,overcast clouds
207,Touros,BR,2022-07-20 21:39:48,-5.1989,-35.4608,75.13,84,82,11.16,broken clouds
208,Caravelas,BR,2022-07-20 21:29:50,-17.7125,-39.2481,71.44,77,2,6.64,clear sky
209,Russell,US,2022-07-20 21:39:49,32.3502,-85.1999,94.96,69,73,3.51,broken clouds
210,East London,ZA,2022-07-20 21:30:54,-33.0153,27.9116,61.72,83,96,4.61,light rain
211,Goma,CD,2022-07-20 21:39:49,-1.6792,29.2228,66.54,62,62,1.32,broken clouds
212,Faya,SA,2022-07-20 21:39:50,18.3851,42.4509,66.72,55,100,8.05,light rain
213,Mapiripan,CO,2022-07-20 21:39:50,2.8892,-72.1256,75.45,92,79,5.97,broken clouds
214,Fuyang,CN,2022-07-20 21:39:50,32.9,115.8167,70.05,94,46,3.91,scattered clouds
215,San Pedro,PH,2022-07-20 21:39:51,14.35,121.0167,81.63,87,100,4.61,moderate rain
216,Bulawayo,ZW,2022-07-20 21:31:59,-20.15,28.5833,56.17,59,73,6.55,broken clouds
217,Duzce,TR,2022-07-20 21:39:51,40.8389,31.1639,60.76,84,0,3.18,clear sky
218,Zhifang,CN,2022-07-20 21:39:52,30.35,114.3167,78.78,96,100,0.67,overcast clouds
219,Seryshevo,RU,2022-07-20 21:39:52,51.0933,128.3786,64.08,76,7,7.45,clear sky
220,Horki,BY,2022-07-20 21:39:52,54.2861,30.9842,60.51,55,94,14.36,overcast clouds
221,Vardo,NO,2022-07-20 21:39:53,70.3705,31.1107,51.78,93,100,0.0,mist
222,Olafsvik,IS,2022-07-20 21:39:53,64.8945,-23.7142,50.74,74,79,9.84,broken clouds
223,Fribourg,CH,2022-07-20 21:39:53,46.8024,7.1513,69.17,83,92,3.65,overcast clouds
224,Turukhansk,RU,2022-07-20 21:39:54,65.8167,87.9833,47.79,95,100,7.61,overcast clouds
225,Klyuchi,RU,2022-07-20 21:39:54,52.2667,79.1667,66.4,63,100,12.24,overcast clouds
226,Waddan,LY,2022-07-20 21:40:54,29.1614,16.139,79.79,47,0,13.4,clear sky
227,Springdale,US,2022-07-20 21:40:27,36.1867,-94.1288,107.47,34,0,12.66,clear sky
228,Khilok,RU,2022-07-20 21:40:55,51.3674,110.4676,52.16,94,44,2.98,scattered clouds
229,Aklavik,CA,2022-07-20 21:40:55,68.2191,-135.0107,64.4,68,75,5.75,broken clouds
230,Urengoy,RU,2022-07-20 21:40:56,65.9667,78.3667,48.97,76,99,7.81,overcast clouds
231,Portland,US,2022-07-20 21:36:23,45.5234,-122.6762,92.95,41,0,6.91,clear sky
232,Kruisfontein,ZA,2022-07-20 21:40:56,-34.0033,24.7314,53.89,91,95,4.54,overcast clouds
233,Iracoubo,GF,2022-07-20 21:40:56,5.4802,-53.2011,78.08,83,5,7.76,clear sky
234,Nola,IT,2022-07-20 21:40:57,40.922,14.5329,82.31,64,0,0.58,clear sky
235,Isla Vista,US,2022-07-20 21:40:57,34.4133,-119.861,97.0,34,13,7.76,few clouds
236,Dwarka,IN,2022-07-20 21:40:57,22.2394,68.9678,81.77,83,92,17.18,overcast clouds
237,Ahuimanu,US,2022-07-20 21:40:58,21.4447,-157.8378,83.91,68,75,18.41,light rain
